,game_id,game_period_number,game_fight_number,game_time_of_fight,away_score_at_fight,home_score_at_fight,home_fighter_id,away_fighter_id,home_fighter_name,away_fighter_name,away_corsi_at_fight,away_fenwick_at_fight,home_corsi_at_fight,home_fenwick_at_fight,away_corsi_after_2,away_fenwick_after_2,home_corsi_after_2,home_fenwick_after_2,away_corsi_after_5,away_fenwick_after_5,home_corsi_after_5,home_fenwick_after_5,away_corsi_after_10,away_fenwick_after_10,home_corsi_after_10,home_fenwick_after_10,away_corsi_until_eop,away_fenwick_until_eop,home_corsi_until_eop,home_fenwick_until_eop,away_corsi_until_eog,away_fenwick_until_eog,home_corsi_until_eog,home_fenwick_until_eog,away_corsi_until_next_fight,away_fenwick_until_next_fight,home_corsi_until_next_fight,home_fenwick_until_next_fight
0,2021020102,1,1,5,0,0,8474034,8477070,Patrick Maroon,Liam O'Brien,0,0,0,0,0.025,0.025,0.008333333,0.008333333,0.023333333,0.02,0.023333333,0.023333333,0.016666667,0.015,0.018333333,0.016666667,0.013389121,0.012552301,0.015899582,0.013389121,0.01418637,0.011404729,0.012239221,0.010292072,0.015089163,0.013717421,0.020576132,0.017832647
0,2021020102,1,2,734,0,3,8474034,8478474,Patrick Maroon,Lawson Crouse,0.014986376,0.013623978,0.020435967,0.017711172,0.025,0.025,0,0,0.01,0.01,0.01,0.01,0.013333333,0.01,0.008333333,0.006666667,0.010729614,0.010729614,0.008583691,0.006437768,0.013956734,0.010816469,0.010118632,0.00837404,,,,
0,2021020105,1,1,47,0,0,8475753,8475172,Justin Faulk,Nazem Kadri,0.021276596,0.021276596,0,0,0.008333333,0.008333333,0.016666667,0.008333333,0.016666667,0.016666667,0.016666667,0.01,0.018333333,0.018333333,0.013333333,0.008333333,0.016478751,0.013876843,0.013876843,0.006071119,0.017731495,0.013791162,0.012665353,0.006754855,,,,
0,2021020106,2,1,1573,2,1,8474568,8479772,Luke Schenn,Zack MacEwen,0.015893198,0.013986014,0.009535919,0.005085823,0,0,0.041666667,0.041666667,0,0,0.036666667,0.033333333,0,0,0.028333333,0.026666667,0.008464329,0.007255139,0.025392987,0.021765417,0.010360138,0.008386778,0.018253577,0.014800197,,,,
0,2021020109,3,1,3597,4,0,8479981,8481014,#N/A,Alexander Romanov,0.01501251,0.01000834,0.018904643,0.015568529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,2021020114,3,1,2635,2,6,8477950,8481147,Tony DeAngelo,#N/A,0.015180266,0.012523719,0.017836812,0.013282732,0.008333333,0.008333333,0.008333333,0.008333333,0.02,0.013333333,0.003333333,0.003333333,0.015,0.01,0.005,0.005,0.011398964,0.008290155,0.007253886,0.007253886,0.011398964,0.008290155,0.007253886,0.007253886,,,,
0,2021020116,2,1,2033,0,2,8478434,8476312,Keegan Kolesar,Josh Manson,0.015248401,0.009345794,0.02262666,0.017215937,0.033333333,0.025,0.033333333,0.025,0.026666667,0.023333333,0.026666667,0.016666667,0.018333333,0.016666667,0.016666667,0.011666667,0.024523161,0.021798365,0.021798365,0.013623978,0.018506701,0.017230377,0.01531589,0.008934269,,,,
0,2021020130,2,1,2163,2,1,8477962,8481528,#N/A,Dylan Cozens,0.010171059,0.006934813,0.015718909,0.012482663,0,0,0.008333333,0,0.006666667,0.006666667,0.016666667,0.013333333,0.005,0.005,0.013333333,0.011666667,0.008438819,0.008438819,0.016877637,0.012658228,0.011830202,0.008350731,0.016701461,0.016005567,,,,
0,2021020138,1,1,617,0,2,8479520,8475766,Brandon Duhaime,Austin Watson,0.012965964,0.011345219,0.017828201,0.017828201,0.016666667,0.016666667,0,0,0.02,0.01,0.01,0.01,0.013333333,0.006666667,0.008333333,0.008333333,0.013722127,0.006861063,0.008576329,0.008576329,0.01575595,0.009721757,0.016426416,0.014750251,,,,
0,2021020140,1,1,429,0,0,8476439,8474697,#N/A,Mark Borowiecki,0.011655012,0.006993007,0.027972028,0.025641026,0.016666667,0.016666667,0.016666667,0.008333333,0.013333333,0.013333333,0.02,0.013333333,0.013333333,0.011666667,0.025,0.021666667,0.012970169,0.011673152,0.023346304,0.019455253,0.01072217,0.00756859,0.016083254,0.013875749,,,,
